user name,location,Reviews
b'Mujochab',"Marcellaz-Albanais, France","b'[\'Il y a un an , nous \xc3\xa9tions venus manger au ryad pour la st Valentin.  Depuis la fermeture des restaurants,  nous avons command\xc3\xa9 plusieurs fois des couscous \xc3\xa0 em<!-- -->...\', \'Tr\xc3\xa8s bons produits,  locaux...la planche ard\xc3\xa9choise est copieuse ! Nous nous sommes r\xc3\xa9gal\xc3\xa9s! Idem pour le dessert...bon accueil. ..tout cela pour un prix correc<!-- -->...\', \'Camping tr\xc3\xa8s agr\xc3\xa9able,  calme..les emplacements sont grands.  Suffisamment de profondeur d eau pour nager \xc3\xa0  la rivi\xc3\xa8re.  Snack et restaurant tr\xc3\xa8s bons et \xc3\xa0 pri<!-- -->...\', \'2\xc3\xa8me exp\xc3\xa9rience ds ce camping. ..toujours aussi bien ! Les emplacements sont grands, quelques uns avec la vue sur la rivi\xc3\xa8re, le top ! Sanitaires tr\xc3\xa8s propres. <!-- -->...\', ""Nous \xc3\xa9tions venus l\'\xc3\xa9t\xc3\xa9 dernier aux tables de l\'\xc3\xa9tang. Pour ce d\xc3\xa9jeuner,  nous avons choisi le menu \xc3\xa0 36\xe2\x82\xac.. nous pouvons choisir au choix entr\xc3\xa9e, plat,dessert d<!-- -->..."", \'En s\xc3\xa9jour aux saintes maries de la mer, nous avons ,\xc3\xa0 nouveau diner \xc3\xa0 la casa romana. Nous avons pass\xc3\xa9 une tr\xc3\xa8s bonne soir\xc3\xa9e,  plats excellents, le personnel es<!-- -->...\', \'Nous venons en moyenne 1f par an aux  saintes maries de la mer. Et nous mangeons au chalut \xc3\xa0  chaque fois. Prix tr\xc3\xa8s corrects, la cuisine est tr\xc3\xa8s bonne. Nous r<!-- -->...\', ""Nous sommes clients au camping la brise depuis plus de 15 ans. Nous venons d\'y sejourner 6 j . Nous avons \xc3\xa9t\xc3\xa9 surpris de l\'environnement,  haies non taill\xc3\xa9es,  <!-- -->..."", \'Tr\xc3\xa8s  joli cadre - moderne et traditionnel- bon accueil,  les serveuses sont tr\xc3\xa8s  souriantes.. Couscous d\xc3\xa9licieux,  nous \xc3\xa9tions 4 et nous avons10881AR1105 tous<!-- -->...\', \'Prix attractif par rapport aux services propos\xc3\xa9s. S\xc3\xa9jour en camping car du 02 au 09/09/19. Nous devions rester 3 nuits et avons prolong\xc3\xa9 \xc3\xa0 7 tellement nous \xc3\xa9tio<!-- -->...\', ""Attir\xc3\xa9s par les terrasses  avec vue sur la place, nous d\xc3\xa9cidons  entre amis de boire un th\xc3\xa9  \xc3\xa0  la menthe en soir\xc3\xa9e. .attente d\'une demi heure pour que la comma<!-- -->..."", ""S\xc3\xa9duit par l\'emplacement avec les terrasses avec vue sur la place,  nous d\xc3\xa9cidons entre amis de nous installer en soir\xc3\xa9e  pour prendre un th\xc3\xa9  \xc3\xa0  la menthe. Une<!-- -->..."", ""3 jours de pur bonheur.. entre 3 couples s\'amis...accueil tres chaleureux d\'Eric et Didier, qui sont une source d\'infos pour que nous passions un merveilleux s\xc3\xa9<!-- -->..."", ""Terrasse tr\xc3\xa8s agr\xc3\xa9able. .Nous \xc3\xa9tions 6 avec r\xc3\xa9servation. .heureusement car c\'etait complet ! Tr\xc3\xa8s bien mang\xc3\xa9. .certains ont pris le menu affaire, d\'autres , pla<!-- -->...""]'"
b'Vir2574',,"b""['Merci pour ce tr\xc3\xa8s bon couscous !! Les keftats sont excellentes, agneau et merguez aussi ! Vous nous avez r\xc3\xa9gal\xc3\xa9s\\nUne tr\xc3\xa8s bonne adresse de cuisine marocaine av<!-- -->...']"""
b'Yaya5589',"Annecy, France","b'[\'Nous avons d\xc3\xaener entre amis dans ce restaurant, un tr\xc3\xa8s bon moment. \\nLe personnel est au top : sourire, gentillesse et efficace. Nous nous sommes r\xc3\xa9gal\xc3\xa9s ! \\nDes<!-- -->...\', \'Nous avons d\xc3\xaen\xc3\xa9 entre amis dans ce restaurant qui se situe au bord du lac. \\nCadre juste sublime...\\nA la tomb\xc3\xa9e de la nuit encore plus...\\nD\xc3\xa9ception sur nos plats<!-- -->...\', ""J\'ai d\xc3\xaen\xc3\xa9 en famille au QG lors de la f\xc3\xaate de la musique. Terrasse agr\xc3\xa9able. Personnel sympathique et efficace. Des plats simples, bons et joliment servi. Prix <!-- -->..."", ""Tr\xc3\xa8s bon moment dans cette nouvelle pizzeria \xc3\xa0 l\'ambiance chic et simple.\\nIl y en a pour tous les go\xc3\xbbts : foccacia, salade \xc3\xa0 composer, pizzas et desserts. \\nPrix<!-- -->..."", ""Nous avons d\xc3\xaen\xc3\xa9 entre amis sur la belle et grande terrasse \xc3\xa0 l\'avant du restaurant.\\nPetite verrine sympathique de mise en bouche offerte ! \\nBelles pr\xc3\xa9sentations<!-- -->..."", \'Nous avons d\xc3\xaen\xc3\xa9 dans ce restaurant entre amis. Tr\xc3\xa8s beau cadre, ext\xc3\xa9rieur comme int\xc3\xa9rieur. Le prix du 1er menu est tr\xc3\xa8s abordable : 29\xe2\x82\xac. Produits et service de <!-- -->...\', ""Cadre magnifique proche du centre ville.\\nPetit moment de jeu et de d\xc3\xa9tente.\\nIl y a tout sur place pour vous mettre dans l\'ambiance et vous restaurer (forc\xc3\xa9ment <!-- -->..."", ""Ce casino est un \xc3\xa9tablissement magnifique, je vous conseille de le visiter si vous \xc3\xaates dans le coin. Les salles de jeux sont tr\xc3\xa8s grandes et c\'est agr\xc3\xa9able de <!-- -->..."", \'Nous avons ador\xc3\xa9 manger sur ce march\xc3\xa9 aux poissons ! Personnel du Cap Oc\xc3\xa9ane fort sympathique, bonne franquette. \\nLes saveurs des Hu\xc3\xaetres (1 douzaine), Crevette<!-- -->...\', \'Nous avons d\xc3\xaen\xc3\xa9 dans ce petit resto sur la rue commer\xc3\xa7ante de Trouville. \\n(Juste en face un grand parking pour stationner).\\nPersonnel super gentil, on sent la b<!-- -->...\', \'Le restaurant est bien situ\xc3\xa9. \\nNous avons prix un plateau de fruits de mer (Tourteau, Langouistine, Hu\xc3\xaetres, Bigorneaux, Amandes, Crevettes, Crevettes grises) \xc3\xa0<!-- -->...\', ""Petite cr\xc3\xaaperie \xc3\xa0 l\'arri\xc3\xa8re du port de Honfleur! Nous avons aim\xc3\xa9 son c\xc3\xb4t\xc3\xa9 atypique en bois, un moment convivial !\\nPersonnel tr\xc3\xa8s agr\xc3\xa9able et efficace. \\nLes prod<!-- -->..."", \'Nous avons s\xc3\xa9journ\xc3\xa9 dans ce petit h\xc3\xb4tel 3 nuits. Points positifs et n\xc3\xa9gatifs, globalement nous avons \xc3\xa9t\xc3\xa9 d\xc3\xa9\xc3\xa7us de la prestation de cet h\xc3\xb4tel ayant 3 \xc3\xa9toiles. \\nT<!-- -->...\', \'Un bar ou il r\xc3\xa8gne toujours une bonne ambiance ! Cadre sympathique. \\nLarge choix de boissons dont de tr\xc3\xa8s bonnes bi\xc3\xa8res faites sur place. Vous pourrez apercevoi<!-- -->...\', \'Nous avons d\xc3\xa9jeun\xc3\xa9 dans ce restaurant mexicain au style branch\xc3\xa9 dans le coeur de la ville (Vous pourrez vous garer facilement et gratuitement dans les rues para<!-- -->...\', \'Nous avons pass\xc3\xa9 quelques heures dans cet endroit magique... \\nDepuis le centre ville de Steamboat vous mettrez 15/20min \xc3\xa0 atteindre les sources. Nous nous y som<!-- -->...\', \'Cet endroit est juste magique.\\nVous allez en prendre plein la vue !\\nLes paysages sont magnifiques. \\nUn moment inoubliable... \', \'Camden Market est un endroit incontournable pendant votre s\xc3\xa9jour \xc3\xa0 Londres. Les fa\xc3\xa7ades des b\xc3\xa2timents sont vraiment atypiques.\\nLe march\xc3\xa9 est \xc3\xa9galement pittoresq<!-- -->...\', \'Nous avons pass\xc3\xa9 la soir\xc3\xa9e avec des amis dans ce bar/restaurant.\\nLa salle est tr\xc3\xa8s grande, avec une grande hauteur de plafond. \\nId\xc3\xa9al pour regarder des diffusio<!-- -->...\', \'Nous avons d\xc3\xa9jeuner dans ce petit resto. Personnel tr\xc3\xa8s agr\xc3\xa9able, service rapide. Plats copieux et vraiment succulents. Prix corrects. Je vous conseille forteme<!-- -->...\']'"
b'vincentcO5808RX',,"b'[""Tout d\'abord, ce restaurant ne pratique aucune r\xc3\xa9duction de 30% comme mentionn\xc3\xa9 dans la pr\xc3\xa9sentation. Lorsque nous avons r\xc3\xa9serv\xc3\xa9 quelques jours avant, ils nous <!-- -->..."", ""C\'est tellement rare de d\xc3\xa9couvrir un restaurant asiatique avec une tr\xc3\xa8s bonne qualit\xc3\xa9 de cuisine faite maison sur place.\\nLe service est tr\xc3\xa8s correct. \\nLa patron<!-- -->..."", \'Le buffet est bien garni. Le restaurant est r\xc3\xa9cent est donc propre et lumineux.\\nLes plats, lors de ma visite le soir au d\xc3\xaener, \xc3\xa9taient \xc3\xa0 peine ti\xc3\xa8des voir presq<!-- -->...\']'"
b'30026',,"b'[""Le repas \xc3\xa9tait tr\xc3\xa8s moyen, viande d\'agneau dure et pas app\xc3\xa9tissante, bouillon d\xc3\xa9lav\xc3\xa9, pas pois chiches, pas d\'\xc3\xa9pices, pas de raisins secs.\\nLe service d\xc3\xa9plaisant<!-- -->...""]'"
b'585maellel',"Annecy, France","b""['Super restaurant ! Le repas \xc3\xa9tait excellent, les serveuses tr\xc3\xa8s sympathiques et charmantes. Je recommande fortement ! Nous avons pris un menu avec un assortimen<!-- -->...', 'Le repas \xc3\xa9tait super bon.\\nMalheureusement je trouve que les serveurs sont d\xc3\xa9bord\xc3\xa9s et ne sont donc pas tr\xc3\xa8s accueillants.\\nIls privil\xc3\xa9gient la quantit\xc3\xa9 de client<!-- -->...', 'C\xe2\x80\x99est un super restaurant, on a tr\xc3\xa8s bien mang\xc3\xa9, les serveurs sont sympathiques, les prix sont accessibles. Je recommande ', 'Zoo tr\xc3\xa8s engag\xc3\xa9, les animaux ont des histoires parfois tristes et le Zoo est la pour certifier qu\xe2\x80\x99il permet de prot\xc3\xa9ger les esp\xc3\xa8ces et non de les enfermer.\\nLes <!-- -->...', 'Les avis \xc3\xa9taient super, l\xe2\x80\x99h\xc3\xb4tel donnait envie. \\nLe personnel tr\xc3\xa8s accueillants et arrangeant.\\nLa chambre \xc3\xa9tait sale, il y avait des trous dans les murs, des cou<!-- -->...', 'Tr\xc3\xa8s tr\xc3\xa8s bon, pas tr\xc3\xa8s cher, 9\xe2\x82\xac90 et on est bien rassasi\xc3\xa9. J\xe2\x80\x99aime beaucoup.\\nLe personnel est tr\xc3\xa8s sympathique.\\nJe recommande ']"""
b'J3742NByvest',,"b""['Nous ne voyons pas le temps pass\xc3\xa9 \xc3\xa0 cette table car les amuses bouche et les plats se suivent \xc3\xa0 un rythme totalement ma\xc3\xaetris\xc3\xa9, tr\xc3\xa8s bon vin, rien \xc3\xa0 dire de plus<!-- -->...', 'Visitant la ville de Clermont-Ferrand et voulant manger absolument une pizza nous nous sommes arr\xc3\xaat\xc3\xa9s dans cet \xc3\xa9tablissement proposant un parking gratuit et la <!-- -->...', 'Nous nous sommes arr\xc3\xaat\xc3\xa9s dans cette brasserie hier midi apr\xc3\xa8s avoir visit\xc3\xa9 l\xe2\x80\x99abbatiale, une responsable tr\xc3\xa8s sympathique et une cuisine raffin\xc3\xa9e, le supr\xc3\xaame de <!-- -->...', 'Cuisine raffin\xc3\xa9e avec produits frais , des \xc3\xa9pices et des herbes pr\xc3\xa9sents sans exc\xc3\xa8s et pour finir un accueil formidable malgr\xc3\xa9 le fait d\xe2\x80\x99\xc3\xaatre arriv\xc3\xa9 avec une sm<!-- -->...']"""
b'aur_liec128',"Feurs, France","b""['Copieux et tr\xc3\xa8s tr\xc3\xa8s bon, on s\xe2\x80\x99est r\xc3\xa9gal\xc3\xa9, service tr\xc3\xa8s agr\xc3\xa9able, nous reviendrons sans h\xc3\xa9siter quand on sera de retour vers Annecy \xf0\x9f\x98\x8b\xe2\x98\xba\xef\xb8\x8f\xf0\x9f\x91\x8d']"""
b'Explorer552943',,"b""['Vous pouvez aller manger un bon couscous les yeux ferm\xc3\xa9s. Excellent couscous. G\xc3\xa9n\xc3\xa9reux sur les quantit\xc3\xa9s et \xc3\xa0 prix tr\xc3\xa8s raisonnable. A refaire , \xc3\xa0 refaire et \xc3\xa0 <!-- -->...']"""
b'janathiou73',"Savoie, France","b'[\'On a pass\xc3\xa9 un tr\xc3\xa8s bon moment. Repas au top. Bonne pr\xc3\xa9sentation des plats et tr\xc3\xa8s bonne qualit\xc3\xa9. On reviendra avec plaisir.\', ""Le repas \xc3\xa9tait d\xc3\xa9licieux, nous nous sommes r\xc3\xa9gal\xc3\xa9s. Le personnel est compl\xc3\xa8tement \xc3\xa0 l\'\xc3\xa9coute. On se sent comme en  famille. Un endroit tr\xc3\xa8s convivial o\xc3\xb9 je ne m<!-- -->...""]'"
